sentence,Positive_Topics,Negative_Topics
"Smart Cities doesn’t appeal to me as it's too niche for my liking. However, I'm not interested in Nanomaterials since it doesn't align with my goals. Another area I enjoy is Embedded Systems, especially for its potential applications. I'm really drawn to Commercial Projects as it aligns with both academic and industry trends. Overall, I want a topic that’s exciting, practical, and lets me learn something new.","['Commercial Projects', 'Embedded Systems']","['Nanomaterials', 'Smart Cities']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Nanomaterials, especially for its potential applications. I'm really drawn to Time Series Analysis as it aligns with both academic and industry trends. I’d rather avoid Application Development because it feels too abstract or outdated. I'm not keen on working with Natural Language Processing—it’s never been an area I enjoyed.","['Time Series Analysis', 'Nanomaterials']","['Application Development', 'Natural Language Processing']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Distributed Systems, especially for its potential applications. I'm fascinated by Smart Cities because it's both innovative and impactful. Distributed haptics doesn’t appeal to me as it's too niche for my liking. I usually steer clear of Software Engineering because it lacks real-world engagement in my view.","['Smart Cities', 'Distributed Systems']","['Distributed haptics', 'Software Engineering']"
"I’d rather avoid Software Engineering because it feels too abstract or outdated. I'm not keen on working with Natural Language Processing—it’s never been an area I enjoyed. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Commercial Projects as it aligns with both academic and industry trends. I find Information Technology intellectually stimulating and highly relevant to current tech problems.","['Commercial Projects', 'Information Technology']","['Natural Language Processing', 'Software Engineering']"
"I’d rather avoid Neuroscience because it feels too abstract or outdated. I find Electronics intellectually stimulating and highly relevant to current tech problems. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm really drawn to Information Security as it aligns with both academic and industry trends. I usually steer clear of Databases because it lacks real-world engagement in my view.","['Electronics', 'Information Security']","['Neuroscience', 'Databases']"
"Another area I enjoy is Product/Service Design, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I’d rather avoid Information Security because it feels too abstract or outdated. I find Wireless Communication intellectually stimulating and highly relevant to current tech problems. However, I'm not interested in Qualitative study since it doesn't align with my goals.","['Wireless Communication', 'Product/Service Design']","['Qualitative study', 'Information Security']"
"Time Series Analysis doesn’t appeal to me as it's too niche for my liking. However, I'm not interested in Embedded Systems since it doesn't align with my goals. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Another area I enjoy is Clustering Algorithms & Optimization, especially for its potential applications. I'm really drawn to Extended Reality as it aligns with both academic and industry trends.","['Extended Reality', 'Clustering Algorithms & Optimization']","['Time Series Analysis', 'Embedded Systems']"
"I’d rather avoid Artificial Intelligence because it feels too abstract or outdated. Another area I enjoy is Software Modeling, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. Information Technology doesn’t appeal to me as it's too niche for my liking. I'm really drawn to Neuroscience as it aligns with both academic and industry trends.","['Neuroscience', 'Software Modeling']","['Information Technology', 'Artificial Intelligence']"
"Overall, I want a topic that’s exciting, practical, and lets me learn something new. I'm not keen on working with Automated Test and Measurement Systems—it’s never been an area I enjoyed. Another area I enjoy is Smart Cities, especially for its potential applications. I’d rather avoid Data Analytics because it feels too abstract or outdated. I'm really drawn to Databases as it aligns with both academic and industry trends.","['Smart Cities', 'Databases']","['Automated Test and Measurement Systems', 'Data Analytics']"
"Neuroscience doesn’t appeal to me as it's too niche for my liking. However, I'm not interested in Software Modeling since it doesn't align with my goals. Another area I enjoy is Renewable Energy System Management, especially for its potential applications. Overall, I want a topic that’s exciting, practical, and lets me learn something new. I find Information Visualization intellectually stimulating and highly relevant to current tech problems.","['Renewable Energy System Management', 'Information Visualization']","['Neuroscience', 'Software Modeling']"
