config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balancing_penalty_weight,prog_first_choice,prog_second_choice,student_topic_satisfaction
Config_4,79.33333333333333,84.77777777777777,2.887212183834912,1.0,10,5,100
Config_8,54.0,84.77777777777777,1.9974584722418922,1.0,10,10,100
Config_19,88.66666666666667,82.58333333333333,3.1423646721770377,1.0,20,5,50
Config_20,80.66666666666666,84.58333333333333,2.880543812550544,1.0,20,5,100
Config_23,83.33333333333334,83.91666666666666,3.0992297371630153,1.0,20,10,50
Config_43,98.66666666666667,77.58333333333334,3.395335312865646,1.0,50,25,50
Config_44,86.0,83.25,3.042872182258349,1.0,50,25,100
Config_60,100.0,76.80555555555554,3.4570766277115377,1.0,100,25,100
Config_64,98.0,77.91666666666667,3.3726037023264834,1.0,100,50,100
Config_68,79.33333333333333,84.77777777777777,2.887212183834912,2.0,10,5,100
Config_71,56.00000000000001,84.69444444444444,2.082305019559997,2.0,10,10,50
Config_83,86.66666666666667,83.08333333333333,3.061773298751281,2.0,20,5,50
Config_85,100.0,76.25,3.37830094447014,2.0,20,10,10
Config_86,98.66666666666667,77.58333333333334,3.395335312865646,2.0,20,10,20
Config_87,83.33333333333334,83.91666666666666,3.0992297371630153,2.0,20,10,50
Config_107,98.66666666666667,77.58333333333334,3.395335312865646,2.0,50,25,50
Config_108,86.0,83.25,3.042872182258349,2.0,50,25,100
Config_124,100.0,76.80555555555554,3.4570766277115377,2.0,100,25,100
Config_128,98.0,77.91666666666667,3.3726037023264834,2.0,100,50,100
Config_129,59.333333333333336,81.58333333333333,0.9753864925604495,5.0,10,5,10
Config_131,54.666666666666664,84.69444444444444,1.3407209463655074,5.0,10,5,50
Config_132,53.333333333333336,84.77777777777777,1.1220833826243413,5.0,10,5,100
Config_133,47.333333333333336,82.69444444444444,0.9753864925604495,5.0,10,10,10
Config_134,48.0,82.69444444444444,1.051296800963234,5.0,10,10,20
Config_146,96.66666666666667,77.91666666666667,3.262466321998906,5.0,20,5,20
Config_147,85.33333333333334,83.08333333333333,2.806146064079042,5.0,20,5,50
Config_148,80.0,84.69444444444444,2.806146064079042,5.0,20,5,100
Config_149,88.66666666666667,77.25,2.7992845861906863,5.0,20,10,10
Config_150,87.33333333333333,78.58333333333334,2.7507750590068234,5.0,20,10,20
Config_151,74.66666666666667,84.41666666666666,2.5625696917847898,5.0,20,10,50
Config_152,74.0,84.69444444444444,2.5171400824119345,5.0,20,10,100
Config_162,100.0,76.25,3.37830094447014,5.0,50,5,20
Config_164,90.0,81.91666666666667,3.123951202813784,5.0,50,5,100
Config_166,100.0,76.25,3.37830094447014,5.0,50,10,20
Config_167,100.0,76.75,3.4291502034121644,5.0,50,10,50
Config_170,100.0,76.25,3.37830094447014,5.0,50,25,20
Config_172,86.0,83.25,3.042872182258349,5.0,50,25,100
Config_176,59.333333333333336,82.91666666666667,2.118924337566331,5.0,50,50,100
Config_178,100.0,76.25,3.37830094447014,5.0,100,5,20
Config_182,100.0,76.25,3.37830094447014,5.0,100,10,20
Config_186,100.0,76.25,3.37830094447014,5.0,100,25,20
Config_190,100.0,76.25,3.37830094447014,5.0,100,50,20
Config_192,98.0,77.91666666666667,3.3726037023264834,5.0,100,50,100
Config_193,52.0,81.25,0.3790600245041255,10.0,10,5,10
Config_194,51.33333333333333,82.08333333333333,0.3790600245041255,10.0,10,5,20
Config_195,43.333333333333336,84.52777777777777,0.4696909399809039,10.0,10,5,50
Config_196,43.333333333333336,84.69444444444444,0.54546554063774,10.0,10,5,100
Config_198,41.333333333333336,82.75,0.3790600245041255,10.0,10,10,20
Config_199,38.0,83.75,0.3790600245041255,10.0,10,10,50
Config_209,69.33333333333334,81.02777777777777,1.6840410311167484,10.0,20,5,10
Config_210,63.33333333333333,81.41666666666667,1.236245075538201,10.0,20,5,20
Config_211,62.0,82.86111111111111,1.2820633768176468,10.0,20,5,50
Config_213,73.33333333333333,80.41666666666667,2.082305019559997,10.0,20,10,10
Config_214,60.0,81.25,1.014052211078134,10.0,20,10,20
Config_216,54.0,84.69444444444444,1.236245075538201,10.0,20,10,100
Config_227,98.66666666666667,76.91666666666667,3.3092867524391685,10.0,50,5,50
Config_228,89.33333333333333,82.08333333333333,3.086794759421568,10.0,50,5,100
Config_229,100.0,75.91666666666667,3.297643966977985,10.0,50,10,10
Config_232,88.0,82.41666666666667,3.017486530825868,10.0,50,10,100
Config_233,99.33333333333333,76.25,3.3611802474760597,10.0,50,25,10
Config_234,97.33333333333334,76.91666666666667,3.2388023015199487,10.0,50,25,20
Config_235,95.33333333333334,77.91666666666667,3.2029784759753985,10.0,50,25,50
Config_236,87.33333333333333,82.58333333333333,3.1177892133850467,10.0,50,25,100
Config_245,100.0,75.91666666666667,3.297643966977985,10.0,100,10,10
