Entry,Positive_Topics,Negative_Topics
"I'm really passionate about developing intelligent systems and neural network architectures for my final year project. The field of AI fascinates me because of its potential to solve complex real-world problems. However, I want to avoid working on distributed computing systems as I find the complexity overwhelming. I'm also not interested in network protocols since they seem too theoretical for my taste.","['Artificial Intelligence', 'Neural Networks']","['Distributed Systems', 'Computer Networking']"
"My interest lies in creating immersive virtual environments and augmented reality applications for educational purposes. I find the intersection of technology and learning incredibly exciting. On the other hand, I have no desire to work with blockchain technology or cryptocurrency systems as I find them overly speculative and volatile.","['Virtual Reality', 'Augmented Reality']","['Blockchain']"
"I'm drawn to computer vision projects, particularly those involving image recognition and pattern analysis. The ability to make machines see and understand visual data is what drives my passion. However, I want to steer clear of cybersecurity projects and information security work as I find the constant threat landscape stressful.","['Computer Vision', 'Image Processing', 'Pattern Recognition']","['Cybersecurity', 'Information Security']"
"Working with big data analytics and machine learning algorithms appeals to me greatly for my capstone project. I enjoy the challenge of extracting meaningful insights from large datasets. Unfortunately, I'm not interested in embedded systems or electronics hardware as I prefer software-focused projects.","['Big Data Analysis', 'Machine Learning', 'Data Analytics']","['Embedded Systems', 'Electronics']"
"I'm fascinated by human-computer interaction design and user experience research methodologies. Creating intuitive interfaces that improve people's digital experiences is my goal. However, I want to avoid signal processing and antenna design projects as they involve too much mathematical complexity for my liking.","['Human-Computer Interaction', 'User Experience (UX)', 'Interaction Design']","['Signal Processing', 'Antenna Design']"
"My passion lies in developing mobile applications and exploring the Internet of Things ecosystem. I love how these technologies connect and enhance our daily lives. I'm not interested in working on database management systems or data mining projects as I find them too backend-focused.","['Mobile Application Development', 'Internet of Things']","['Databases', 'Data Mining']"
"I'm excited about robotics and automated systems that can perform complex tasks autonomously. The mechanical and software integration challenges really appeal to me. However, I want to avoid cloud computing and distributed systems as I prefer working on tangible, physical projects.","['Robotics', 'Automated Test and Measurement Systems']","['Cloud Computing', 'Distributed Systems']"
"Natural language processing and generative AI technologies fascinate me immensely. I want to work on projects that can understand and generate human language. I'm not interested in network security or wireless communication projects as they seem too infrastructure-focused for my taste.","['Natural Language Processing', 'Generative AI']","['Network Security', 'Wireless Communication']"
"I'm passionate about sustainable computing solutions and renewable energy management systems. Environmental technology applications really motivate me to contribute positively. However, I want to avoid working on commercial software projects or e-commerce platforms as I find them less meaningful.","['Green Computing', 'Renewable Energy System Management', 'Environment']","['Commercial Projects', 'E-commerce games']"
"My interest lies in health informatics and medical data analysis applications. I want to use technology to improve healthcare outcomes and patient care. I'm not interested in graphics programming or computer animation projects as they seem too entertainment-focused for my goals.","['Health Informatics', 'Data Analytics']","['Computer Graphics']"
