student_preference,lecturer_topics,match
I am passionate about Research Methods in Science and Technology and want to explore more in this field.,"['Artificial Intelligent and Big Data Analytics', 'Photonics', 'Networks']",0
I am excited to explore the latest advancements in Emerging databases.,"['Clustering Algorithms & Optimization', 'Battery management system', 'Emerging databases']",1
I am looking to enhance my skills in CHE1034 Organic Chemistry.,"['Tele-robotics', 'Hydrogen/ hydrogen isotope splitting', 'CHE1034 Organic Chemistry']",1
I am excited to explore the latest advancements in AI for Healthcare.,"['Thermochemical Conversion Technology', 'Energy planning for greenhouse gases emission reduction', 'AI for Healthcare']",1
I want to gain hands-on experience in Environmental issues such as air pollution and waste management.,"['Smart Energy-Efficient Buildings', 'Computational physics', '5G Wireless; Optical Communication']",0
I want to bated by Decarbonization strategies and Net-zero transition and its potential to solve real-world problems.,"['Nuclear Energy: Studies of neutronic properties of Thorium fuel cycle for the next-generation nuclear reactor.', 'Emerging databases', 'Decarbonization strategies and Net-zero transition']",1
I am fascino collaborate on research in WEB1201/ WEB2014 Web Fundamentals.,"['Techno-economic Assessment for Renewable Energy System', 'Quantum Chemistry', 'WEB1201/ WEB2014 Web Fundamentals']",1
I am passionate about Solid and Fluid Mechanics and want to explore more in this field.,"['Digital image forgery detection', 'Bioenergy [Biohydrogen, biochar, bioethanol]', 'Built Environment']",0
I am excited to explore the latest advancements in Bamboo structures.,"['Network and Information Security', 'Lithium-ion battery', 'Bamboo structures']",1
I am looking to enhance my skills in Wireless Communications.,"['Information Security Analysis', 'Physical Principles for Engineering & Technology', 'Wireless Communications']",1
I am interested in learning about Business Analytics (Information Systems) and its applications.,"['Cellular Networks', 'Ultrasound Indoor Localization', 'Agro-industrial system optimisation']",0
I want to work on projects related to Radiation dosimetry.,"['Pharmaceutical Technology', 'Urban Poverty', 'Radiation dosimetry']",1
I want to contribute to innovative solutions in Embedded Systems: for IoT applications.,"['Introduction to Environmental Engineering', 'Artificial Intelligent and Big Data Analytics', 'Fermentation Technology']",0
I am fascino collaborate on research in Application of Machine Learning and Deep Learning.,"['Energy Management System; Energy Transition; Power Quality', 'Knowledge Graphs', 'Application of Machine Learning and Deep Learning']",1
I am passionate about Virtual Reality and want to explore more in this field.,"['Battery management system', 'Mobile programming', 'Virtual Reality']",1
I want to bated by Interactive arts / contents design and its potential to solve real-world problems.,"['Deep Learning for Data Science', 'COSMO-RS modelling', 'Interactive arts / contents design']",1
I want to gain hands-on experience in Radiation effects on cells and tissues.,"['Hardware Security', 'Bio-Based Nanomaterials', 'Radiation effects on cells and tissues']",1
I want to work on projects related to Automated Test and Measurement Systems.,"['Polymer recycling', 'Deep Learning and Neural Networks', 'Automated Test and Measurement Systems']",1
I want to contribute to innovative solutions in Sustainable Value Chain.,"['Radiation physics', 'Business Intelligence', 'Sustainable Value Chain']",1
I am interested in learning about Network and Information Security and its applications.,"['Process and plant design', 'Robotic, automation, control systems', 'Mobile App Development']",0
I am passionate about Energy Optimization and want to explore more in this field.,"['Separations', 'Fault Tolerance', '5G Wireless; Optical Communication']",0
