sentence,positive_topic,negative_topic
"I'm really interested in machine learning because I enjoy working with algorithms that can learn from data.",machine learning,
"Blockchain development seems too complex for me, so I'd rather avoid it.",,blockchain development
"I'd love to work on a project involving computer vision since I find image processing fascinating.",computer vision,
"I want to avoid low-level programming like embedded systems because it feels tedious.",,embedded systems
"Natural language processing excites me because of its applications in chatbots and translation.",natural language processing,
"Game development doesn't align with my career goals, so I'll skip that.",,game development
"I'm keen on cybersecurity because protecting systems from threats is a critical challenge.",cybersecurity,
"Web development seems too saturated, so I'm not interested in that.",,web development
"Data science appeals to me because I enjoy extracting insights from large datasets.",data science,
"I'm not interested in mobile app development since I prefer backend systems.",,mobile app development
"I'd like to explore AI ethics as it combines technology with societal impact.",AI ethics,
"Cloud computing isn't something I want to focus on for my project.",,cloud computing
"Working on a robotics project sounds exciting because it involves both hardware and software.",robotics,
"I don't want to do a project on database optimization—it sounds too dry.",,database optimization
"I'm fascinated by neural networks and would love to build a model from scratch.",neural networks,
"Augmented reality isn't my thing, so I'll avoid projects in that area.",,augmented reality
"Bioinformatics interests me because it applies CS to solve biological problems.",bioinformatics,
"I'm not keen on IoT projects due to the hardware complexities involved.",,IoT
"Algorithm optimization is something I'd enjoy because I like efficiency challenges.",algorithm optimization,
"I want to avoid pure theoretical CS projects as I prefer practical applications.",,theoretical CS
"Developing a recommendation system would be fun since I enjoy personalization tech.",recommendation systems,
"Networking projects seem too niche for my taste, so I'll pass.",,networking
"I'm interested in federated learning because of its privacy-preserving aspects.",federated learning,
"UI/UX design isn't for me—I prefer coding over design work.",,UI/UX design
"Quantum computing is intriguing, and I'd love to explore its basics.",quantum computing,
"I don’t want to work on legacy systems—they feel outdated and limiting.",,legacy systems
"Autonomous systems excite me because of their real-world impact.",autonomous systems,
"Compiler design is too complex for my liking, so I'll avoid it.",,compiler design
"I'm drawn to anomaly detection in data because it's a challenging problem.",anomaly detection,
"Working on social media analytics doesn't interest me much.",,social media analytics
"Reinforcement learning is fascinating, and I'd love to implement a simple agent.",reinforcement learning,
"Computer graphics feels too math-heavy, so I'm not interested.",,computer graphics
"Privacy-enhancing technologies are important, and I'd like to contribute.",privacy-enhancing technologies,
"I don’t want to work on e-commerce platforms—they seem repetitive.",,e-commerce platforms
"Time-series forecasting is interesting because of its real-world applications.",time-series forecasting,
"Virtual reality development isn't something I'm passionate about.",,virtual reality
"Explainable AI is a great topic since transparency in AI is crucial.",explainable AI,
"I'm not interested in DevOps-related projects for my final year.",,DevOps
"Generative AI is exciting, and I'd love to experiment with it.",generative AI,
"Working on operating systems is too low-level for my preferences.",,operating systems
"Edge computing is appealing because it optimizes performance and latency.",edge computing,
"I don't want to work on voice recognition—it's not my area of interest.",,voice recognition
"Distributed systems are complex but rewarding, so I'd like to explore them.",distributed systems,
"Front-end development isn't my strength, so I'll avoid it.",,front-end development
"AI for healthcare is meaningful, and I'd love to contribute to it.",AI for healthcare,
"Embedded programming feels too hardware-focused for me.",,embedded programming
"Graph algorithms are cool, and I'd enjoy implementing them.",graph algorithms,
"Working on chatbots seems too repetitive, so I'll skip it.",,chatbots
"Predictive analytics is something I'd enjoy due to its business impact.",predictive analytics,
"Computer networking isn't a topic I'm passionate about.",,computer networking
"Federated databases sound interesting for their scalability benefits.",federated databases,
"I'm not keen on working with legacy codebases—they're frustrating.",,legacy codebases
"AI-driven automation is a field I'd love to explore further.",AI-driven automation,
"Game engine development is too complex for my project.",,game engine development
"Data visualization is appealing because it makes insights accessible.",data visualization,
"I don’t want to work on payment systems—they seem too regulated.",,payment systems
"Autonomous drones are an exciting application of AI and robotics.",autonomous drones,
"Kernel development is too niche for my interests.",,kernel development
"Sentiment analysis is interesting because of its use in social data.",sentiment analysis,
"I'm not interested in AR/VR development—it's too specialized.",,AR/VR development
"AI in finance is a great topic because of its real-world impact.",AI in finance,
"Working on firmware doesn't excite me—it's too hardware-dependent.",,firmware
"Network security is crucial, and I'd like to work on a related project.",network security,
"I don’t want to do a project on database management systems.",,database management systems
"Deep learning for medical imaging is both challenging and impactful.",deep learning,
"Mobile game development isn't aligned with my career goals.",,mobile game development
"Blockchain for supply chain transparency is an interesting application.",blockchain,
"Compiler theory is too abstract for my liking.",,compiler theory
"AI-powered cybersecurity is a growing field I'd love to explore.",AI-powered cybersecurity,
"I'm not interested in working on CMS platforms.",,CMS platforms
"Realtime data processing is exciting because of its speed challenges.",realtime data processing,
"Web scraping feels too simplistic for a final-year project.",,web scraping
"AI in agriculture is meaningful, and I'd enjoy working on it.",AI in agriculture,
"I don’t want to work on desktop application development.",,desktop application development
"Autonomous vehicle algorithms are fascinating due to their complexity.",autonomous vehicles,
"Working on assembly language projects is too low-level for me.",,assembly language
"AI for climate modeling is impactful and worth exploring.",AI for climate modeling,
"I'm not interested in ERP system development.",,ERP systems
"Federated AI is a cutting-edge topic I'd love to dive into.",federated AI,
"Mainframe programming feels outdated, so I'll avoid it.",,mainframe programming
"AI in education has great potential, and I'd like to contribute.",AI in education,
"I don’t want to work on POS systems—they seem too niche.",,POS systems
"Autonomous robotics is a blend of AI and engineering I find exciting.",autonomous robotics,
"Working on legacy database migrations is unappealing to me.",,legacy database migrations
"AI for fraud detection is practical and challenging.",AI for fraud detection,
"I'm not interested in developing WordPress plugins.",,WordPress plugins
"Quantum machine learning is an emerging field I'd love to explore.",quantum machine learning,
"COBOL programming is outdated, so I'll avoid it.",,COBOL programming
"AI in mental health is meaningful and worth investigating.",AI in mental health,
"I don’t want to work on inventory management systems.",,inventory management systems
"Autonomous drone navigation is a challenging and rewarding topic.",autonomous drones,
"Working on firmware updates is too tedious for my taste.",,firmware updates
"AI for legal tech is an interesting intersection of fields.",AI for legal tech,
"I'm not interested in developing REST APIs for my project.",,REST APIs
"AI in sports analytics is exciting because of its real-world use.",AI in sports analytics,
"Working on printer driver development is too niche for me.",,printer driver development
"AI for wildlife conservation is impactful and inspiring.",AI for wildlife conservation,
"I don’t want to work on ticketing systems—they seem too mundane.",,ticketing systems
"Autonomous underwater vehicles are a fascinating engineering challenge.",autonomous underwater vehicles,
"Working on BIOS programming is too low-level for my project.",,BIOS programming
"AI for drug discovery is a groundbreaking application.",AI for drug discovery,
"I'm not interested in developing CRM software.",,CRM software
"AI in music generation is creative and technically challenging.",AI in music generation,
"Working on fax software is outdated and uninteresting.",,fax software
"AI for disaster response is meaningful and urgent.",AI for disaster response,
"I don’t want to work on payroll systems—they seem too repetitive.",,payroll systems
"Autonomous farming robots are an innovative application of AI.",autonomous farming robots,
"Working on terminal emulators is too niche for my interests.",,terminal emulators
"AI for language preservation is culturally significant.",AI for language preservation,
"I'm not interested in developing accounting software.",,accounting software
"AI in fashion tech is a unique and growing field.",AI in fashion tech,
"Working on dial-up modem software is irrelevant today.",,dial-up modem software
"AI for accessibility tech is impactful and inclusive.",AI for accessibility tech,
"I don’t want to work on timesheet management systems.",,timesheet management systems
"Autonomous delivery robots are a futuristic and practical topic.",autonomous delivery robots,
"Working on floppy disk controllers is obsolete.",,floppy disk controllers
