SentenceID,SentenceText,Human_Positive_Topics,Human_Negative_Topics,Gemini_Positive_Topics_Str,Gemini_Negative_Topics_Str
1,"I'm really passionate about developing intelligent systems and neural network architectures for my final year project. The field of AI fascinates me because of its potential to solve complex real-world problems. However, I want to avoid working on distributed computing systems as I find the complexity overwhelming. I'm also not interested in network protocols since they seem too theoretical for my taste.","['Artificial Intelligence', 'Neural Networks']","['Distributed Systems', 'Computer Networking']","['Artificial Intelligence', 'Neural Networks']","['Distributed Systems', 'Computer Networking']"
2,"For my capstone project, I'm drawn to creating immersive VR experiences and AR applications that can revolutionize user interaction. The blend of technology and creativity in extended reality really excites me. On the flip side, I'd prefer to skip anything related to fiber optic sensing or photonic device research. These hardware-focused areas don't align with my software development interests.","['Virtual Reality', 'Augmented Reality', 'Extended Reality']","['Fiber Optic Sensor', 'Photonic Devices']","['Virtual Reality', 'Augmented Reality', 'Extended Reality']","['Fiber Optic Sensor', 'Photonic Devices']"
3,"I'm eager to work on sustainable computing solutions and green technology implementations for my thesis. Environmental consciousness combined with technology appeals to me greatly. However, I want to steer clear of blockchain projects and cryptocurrency development. I also find cybersecurity analysis tedious and would rather avoid information security work.","['Green Computing', 'Sustainability']","['Blockchain', 'Cybersecurity', 'Information Security']","['Green Computing', 'Sustainability']","['Blockchain', 'Cybersecurity', 'Information Security']"
4,"My interests lie in developing mobile apps and creating user-friendly interface designs for various platforms. I love the creative aspect of UX/UI work and mobile development. Unfortunately, I'm not keen on diving into big data analytics or statistical analysis projects. Time series forecasting also seems monotonous to me.","['Mobile Application Development', 'UI/UX Design']","['Big Data Analysis', 'Statistics', 'Time Series Analysis']","['Mobile Application Development', 'UI/UX Design']","['Big Data Analysis', 'Statistics', 'Time Series Analysis']"
5,"I'm fascinated by computer vision applications and image analysis techniques for automated systems. The intersection of AI and visual processing really captures my attention. However, I'd rather avoid embedded system programming and IoT device development. Hardware integration projects don't match my software-focused career goals.","['Computer Vision', 'Image Processing']","['Embedded Systems', 'Internet of Things']","['Computer Vision', 'Image Processing', 'Artificial Intelligence']","['Embedded Systems', 'Internet of Things']"
6,"For my final project, I want to explore machine learning algorithms and deep neural network implementations. The mathematical beauty of learning algorithms really motivates me. But I'm not interested in wireless communication protocols or mobile network optimization. These networking topics feel too removed from my core interests.","['Machine Learning', 'Deep Learning']","['Wireless Communication', 'Mobile Networks']","['Machine Learning', 'Deep Learning', 'Neural Networks']","['Wireless Communication', 'Mobile Networks']"
7,"I'm passionate about developing e-commerce platforms and database management systems for online businesses. The combination of software engineering and commercial applications excites me. However, I want to avoid renewable energy projects and battery management systems. These hardware-oriented fields don't align with my software development focus.","['Software Engineering', 'Databases', 'Commercial Projects']","['Renewable Energy', 'Battery Energy Storage Management']","['E-commerce games', 'Databases', 'Software Engineering', 'Commercial Projects']","['Renewable Energy', 'Battery Energy Storage Management']"
8,"My project interests center around natural language understanding and automated testing frameworks. I find the challenge of making computers understand human language fascinating. On the contrary, I'm not enthusiastic about robotics projects or haptic feedback systems. Physical computing projects seem too complex for my current skill level.","['Natural Language Processing', 'Automated Test and Measurement Systems']","['Robotics', 'Distributed haptics']","['Natural Language Processing', 'Automated Test and Measurement Systems']","['Robotics', 'Distributed haptics']"
9,"I'm excited about working with cloud-based solutions and information system architectures for my thesis. The scalability and modern approach of cloud computing really appeals to me. However, I'd prefer to skip antenna engineering and signal processing work. These electrical engineering aspects are outside my comfort zone.","['Cloud Computing', 'Information Systems']","['Antenna Design', 'Signal Processing']","['Cloud Computing', 'Information Systems']","['Antenna Design', 'Signal Processing']"
10,"For my capstone, I want to focus on pattern recognition systems and computational intelligence algorithms. The problem-solving nature of these fields really motivates me. But I'm not interested in nanomaterial research or ultrasound technology projects. These scientific research areas feel too far from practical software applications.","['Pattern Recognition', 'Computational Intelligence']","['Nanomaterials', 'Ultrasound']","['Pattern Recognition', 'Computational Intelligence']","['Nanomaterials', 'Ultrasound']"
11,"I'm drawn to creating interactive design solutions and human-computer interfaces for accessibility. The user-centered approach of HCI research really resonates with me. However, I want to avoid evolutionary computing and clustering optimization projects. These algorithmic approaches seem too abstract for my practical mindset.","['Human-Computer Interaction', 'Interaction Design']","['Evolutionary Computing', 'Clustering Algorithms & Optimization']","['Interaction Design', 'Human-Computer Interaction']","['Evolutionary Computing', 'Clustering Algorithms & Optimization']"
12,"My interests include developing healthcare applications and data mining techniques for medical systems. The potential to improve lives through technology really drives my passion. Unfortunately, I'm not keen on working with smart transportation systems or network coding protocols. These infrastructure projects don't align with my healthcare focus.","['Healthcare', 'Data Mining']","['Smart Transportation', 'Network Coding']","['Healthcare', 'Data Mining']","['Smart Transportation', 'Network Coding']"
13,"I want to work on information visualization projects and data analytics platforms for my final year. The art of making data meaningful and accessible really excites me. However, I'd rather avoid electronics projects and computer engineering hardware work. Physical system design isn't where my strengths lie.","['Information Visualization', 'Data Analytics']","['Electronics', 'Computer Engineering']","['Information Visualization', 'Data Analytics']","['Electronics', 'Computer Engineering']"
14,"For my thesis, I'm interested in exploring generative AI models and machine learning theory foundations. The cutting-edge nature of AI generation really fascinates me. But I'm not enthusiastic about mixed reality development or TinyML implementations. These specialized areas seem too niche for my broader AI interests.","['Generative AI', 'Machine Learning Theory']","['Mixed Reality', 'TinyML']","['Generative AI', 'Machine Learning Theory']","['Mixed Reality', 'TinyML']"
15,"I'm passionate about software modeling techniques and product design methodologies for user applications. The structured approach to development really appeals to my organized mindset. However, I want to steer clear of neuroscience research and qualitative research methods. These research-heavy fields don't match my development preferences.","['Software Modeling', 'Product Design']","['Neuroscience', 'Qualitative Research']","['Software Modeling', 'Product Design']","['Neuroscience', 'Qualitative Research']"
16,"My project focus is on network security implementations and wireless system architectures. The challenge of securing digital communications really motivates me. On the flip side, I'm not interested in sustainable city planning or environmental computing projects. These policy-oriented topics feel too removed from technical implementation.","['Network Security', 'Wireless Networks']","['Sustainable Cities', 'Environment']","['Network Security', 'Wireless Communication']","['Sustainable Cities', 'Environment']"
