config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balance_weight,score_weights
Config_1,98.66666666666667,77.91666666666667,3.2565664377862045,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_2,88.0,82.58333333333333,2.8938651891451856,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_3,80.66666666666666,84.69444444444444,2.5998213626250717,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_4,80.0,84.77777777777777,2.643830620204501,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_5,62.0,80.41666666666667,2.2251693890284794,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_6,56.00000000000001,82.08333333333333,2.127980706395726,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_7,54.666666666666664,84.69444444444444,1.8987429956988726,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_8,56.666666666666664,84.77777777777777,1.8885876800545933,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_9,32.666666666666664,79.25,2.5998213626250717,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_10,29.333333333333332,80.91666666666667,2.5171400824119345,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_11,24.666666666666668,82.91666666666667,2.5998213626250717,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_12,29.333333333333332,84.69444444444444,2.423727652387186,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_13,32.666666666666664,79.25,2.5998213626250717,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_14,29.333333333333332,80.91666666666667,2.5171400824119345,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_15,24.0,82.58333333333333,2.607207827547168,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_16,24.0,83.02777777777777,2.5924138518184447,1.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_17,100.0,77.25,3.285959929156657,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_18,100.0,77.25,3.285959929156657,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_19,89.33333333333333,82.58333333333333,2.9334663733739186,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_20,81.33333333333333,84.58333333333333,2.6292427182380553,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_21,100.0,77.25,3.3150928114203553,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_22,98.66666666666667,77.91666666666667,3.244734486332041,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_23,84.66666666666667,83.75,2.8266305645292444,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_24,81.33333333333333,84.58333333333333,2.687119197039861,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_25,32.666666666666664,79.25,2.5998213626250717,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_26,34.0,79.75,2.5998213626250717,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_27,32.0,82.75,2.47087534362127,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_28,30.0,84.58333333333333,2.4395447956267122,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_29,32.666666666666664,79.25,2.607207827547168,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_30,32.666666666666664,79.25,2.5998213626250717,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_31,28.000000000000004,81.58333333333333,2.5247684513527773,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_32,24.666666666666668,82.91666666666667,2.5998213626250717,1.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_33,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_34,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_35,100.0,77.25,3.285959929156657,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_36,90.66666666666666,81.91666666666667,2.959572793083773,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_37,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_38,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_39,100.0,77.25,3.3150928114203553,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_40,90.66666666666666,81.91666666666667,2.9203256473880534,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_41,100.0,77.25,3.285959929156657,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_42,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_43,98.0,78.25,3.2565664377862045,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_44,88.0,82.58333333333333,2.8537145095781864,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_45,62.66666666666667,80.41666666666667,2.1903270659933924,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_46,63.33333333333333,80.41666666666667,2.2932664732999704,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_47,64.0,80.41666666666667,2.1815295362570004,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_48,59.333333333333336,82.08333333333333,2.1006944735986326,1.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_49,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_50,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_51,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_52,100.0,77.25,3.285959929156657,1.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_53,100.0,77.25,3.2976439669779847,1.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
