Name,Department,Preferred Programme for Supervision (1st Choice),Preferred Programme for Supervision (2nd Choice),Expertise Area 1,Expertise Area 2,Expertise Area 3,Standardized Expertise 1,Standardized Expertise 2,Standardized Expertise 3,Standardized Topics
Ali Afzalian Mand,DDSAI,No Preference,No Preference,['Machine Learning Theory'],['AI for Healthcare'],"['Deep Learning', 'Neural Networks']",['Machine Learning Theory'],['AI in Healthcare'],"['Deep Learning', 'Neural Networks']","Machine Learning Theory, AI in Healthcare, Deep Learning, Neural Networks"
Assoc. Prof. Dr Anwar P.P. Abdul Majeed,DDSAI,BSDA,BCS / BSE / BIT,"['Machine Learning', 'Deep Learning']",['Data Analytics'],['Robotics'],"['Machine Learning', 'Deep Learning']",['Data Analytics'],['Robotics'],"Machine Learning, Deep Learning, Data Analytics, Robotics"
Assoc. Prof. Dr Azam Che Idris,DDSAI,BSDA,BCS / BSE / BIT,"['DEEP LEARNING', 'MACHINE LEARNING']",['TIME SERIES ANALYSIS'],['COMPUTER VISION'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],['Computer Vision'],"Deep Learning, Machine Learning, Time Series Analysis, Computer Vision"
Assoc. Prof. Dr Muhammed Basheer Jasser,DDSAI,BCS / BSE / BIT,BSDA,"['Machine Learning', 'Artificial Intelligence']",['Swarm and Evolutionary Computing'],"['Software Engineering', 'Software Modeling']","['Machine Learning', 'Artificial Intelligence']",['Evolutionary Computing'],"['Software Engineering', 'Software Modeling']","Machine Learning, Artificial Intelligence, Evolutionary Computing, Software Engineering, Software Modeling"
Assoc. Prof. Dr Aslina Baharum,DDSAI,BCS / BSE / BIT,BSDA,"['AI-UX', 'UX/UI Research & Design', 'HCI', 'Interaction Design', 'Product/Service Design']","['Software Engineering & Development', 'Information Visualization & Analytics']","['Information and Communication Technology (ICT)/ Information Technology (IT)/ Multimedia/ Information System (IS)', 'Computer Science']","['AI-UX', 'UI/UX Design', 'Human-Computer Interaction', 'Interaction Design', 'Product/Service Design']","['Software Engineering', 'Information Visualization & Analytics']","['Information Technology', 'Computer Science']","AI-UX, UI/UX Design, Human-Computer Interaction, Interaction Design, Product/Service Design, Software Engineering, Information Visualization & Analytics, Information Technology, Computer Science"
Dr Danish Mahmood Khan,DDSAI,BCS / BSE / BIT,BSDA,"['Neuroscience', 'health', 'Environment']",['Machine Learning\\Deep learning'],"['Computer Vision', 'signal processing']","['Neuroscience', 'Health', 'Environment']",['Deep Learning'],"['Computer Vision', 'Signal Processing']","Neuroscience, Health, Environment, Deep Learning, Computer Vision, Signal Processing"
Dr David Olayemi Alebiosu,DDSAI,BCS / BSE / BIT,BSDA,"['Deep Learning', 'Machine Learning']",['Image Processing'],['Pattern Recognition'],"['Deep Learning', 'Machine Learning']",['Image Processing'],['Pattern Recognition'],"Deep Learning, Machine Learning, Image Processing, Pattern Recognition"
Dr Faris Syahmi Samidi,DDSAI,BCS / BSE / BIT,BSDA,['Applied AI'],['Internet of Things (IoT)'],['Mobile Application Development'],['Applied AI'],['Internet of Things'],['Mobile Application Development'],"Applied AI, Internet of Things, Mobile Application Development"
Dr Farrukh Hassan,DDSAI,BSDA,BCS / BSE / BIT,['Computer Vision'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],['Computer Vision'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],"Computer Vision, Deep Learning, Machine Learning, Time Series Analysis"
Dr Hadyan Hafizh,DDSAI,BCS / BSE / BIT,BCNS,['Applied AI'],['Industrial IoT'],['Deep Learning'],['Applied AI'],['Industrial IoT'],['Deep Learning'],"Applied AI, Industrial IoT, Deep Learning"
Dr Javid Iqbal Thirupattur,DDSAI,BCS / BSE / BIT,BSDA,"['Mixed Reality', 'AR', 'VR']",['IoT '],[],"['Mixed Reality', 'Augmented Reality', 'Virtual Reality']",['IoT '],[],"Mixed Reality, Augmented Reality, Virtual Reality, IoT"
Dr Mohd Firdaus Roslan,DDSAI,BCS / BSE / BIT,BSDA,['Applied AI'],['Data Analytics'],"['Artificial Intelligence', 'Machine Learning']",['Applied AI'],['Data Analytics'],"['Artificial Intelligence', 'Machine Learning']","Applied AI, Data Analytics, Artificial Intelligence, Machine Learning"
Dr Samuel Mofoluwa Ajibade,DDSAI,BSDA,BCS / BSE / BIT,['Machine learning'],['Artificial Intelligence'],['Data Analytics'],['Machine Learning'],['Artificial Intelligence'],['Data Analytics'],"Machine Learning, Artificial Intelligence, Data Analytics"
Dr Sathishkumar Veerappampalayam Easwaramoorthy,DDSAI,No Preference,No Preference,['Data Mining'],['Machine Learning'],[],['Data Mining'],['Machine Learning'],[],"Data Mining, Machine Learning"
Dr Teoh Yun Xin,DDSAI,No Preference,No Preference,['AI'],['Image Processing'],[],['Artificial Intelligence'],['Image Processing'],[],"Artificial Intelligence, Image Processing"
Nurul Aiman Abdul Rahim,DDSAI,BCS / BSE / BIT,BSDA,"['VR', 'AR', 'Computer Graphic']","['UI and UX', 'HCI']",['Machine Learning'],"['Virtual Reality', 'Augmented Reality', 'Computer Graphics']","['UI/UX Design', 'Human-Computer Interaction']",['Machine Learning'],"Virtual Reality, Augmented Reality, Computer Graphics, UI/UX Design, Human-Computer Interaction, Machine Learning"
Prof. Angela Lee Siew Hoong,DDSAI,BSDA,BCS / BSE / BIT,['AI '],['Data Analytics'],['Machine Learning'],['AI '],['Data Analytics'],['Machine Learning'],"AI, Data Analytics, Machine Learning"
Prof. Chua Hui Na,DDSAI,BSDA,BCS / BSE / BIT,"['Applied machine learning', 'deep learning', 'AI']",[],[],"['Applied Machine Learning', 'Deep Learning', 'Artificial Intelligence']",[],[],"Applied Machine Learning, Deep Learning, Artificial Intelligence"
